title,authors,average_rating,isbn,# num_pages
Declarations of Independence: Cross-Examining American Ideology,Howard Zinn,4.26,60921080,341
Hemingway: The Paris Years,Michael S. Reynolds,4.17,393318796,402
Five Patients,Michael Crichton,3.48,345354648,204
The Human Stain (The American Trilogy  #3),Philip Roth,3.87,99282194,384
Paris 1919: Six Months that Changed the World,Margaret MacMillan-Richard Holbrooke,4.07,375760520,570
Adios Hemingway (Mario Conde  #6),Leonardo Padura-John King,3.71,184195795X,229
Salt: A World History,Mark Kurlansky,3.74,142001619,484
CliffNotes on Williams' Glass Menagerie & Streetcar Named Desire (Cliffs Notes),James Lamar Roberts-Tennessee Williams-CliffsNotes,3.78,822005336,88
How Democratic Is the American Constitution?,Robert A. Dahl,3.64,300095244,240
Stephen King: America's Best-Loved Boogeyman,George Beahm,3.79,836254279,304
To the Last Man: A Novel of the First World War,Jeff Shaara,4.22,345461363,636
Ranma 1/2  Vol. 34 (Ranma ½ (US 2nd)  #34),Rumiko Takahashi,4.08,1421505053,182
Hegemony or Survival: America's Quest for Global Dominance,Noam Chomsky,3.96,805076883,301
Norwegian Wood,Haruki Murakami-Jay Rubin,4.03,375704027,296
The Wit &  Wisdom of Winston Churchill,James C. Humes-Richard M. Nixon,3.99,60925779,256
Rachel se va de viaje (La familia Walsh  #2),Marian Keyes,3.95,8497599179,595
The Echo,Minette Walters,3.63,515122564,368
The Infinite Plan,Isabel Allende,3.71,60924985,384
Hunting the Hunter (On the Run  #6),Gordon Korman,4.21,439651417,151
The Road Back,Erich Maria Remarque,4.31,1931541744,352
Scratch the Surface (A Cat Lover's Mystery #1),Susan Conant,3.34,425206114,288
One for the Money (Stephanie Plum  #1),Janet Evanovich,4.04,312362080,320
Traveller,Richard  Adams,3.92,440204933,355
Sherlock Holmes: The Unauthorized Biography,Nick Rennison,4.26,871139472,304
Emergence,David R. Palmer,4.16,553245015,291
Chocolat (Chocolat  #1),Joanne Harris,3.96,552998486,320
Starting Over (Sweet Valley High  #33),Francine Pascal-Kate William,3.37,553274910,153
Rick Steves' Europe Through the Back Door,Rick Steves,4.24,1566918081,808
Think and Grow Rich,Napoleon Hill,4.18,1932429239,368
Meridon (The Wideacre Trilogy  #3),Philippa Gregory,3.67,743249313,569
Teleny or the Reverse of the Medal,Oscar Wilde,3.68,1595690360,138
The Last Lion: Winston Spencer Churchill: Visions of Glory  1874-1932,William Manchester,4.43,316545031,992
Che Guevara: A Revolutionary Life,Jon Lee Anderson,4.12,802135587,814
Literary Theory: An Introduction,Terry Eagleton,3.94,631201882,248
Phaedrus/Apology/Crito/Symposium,Plato-Benjamin Jowett,4.00,1420926845,144
Nick & Norah's Infinite Playlist,Rachel Cohn-David Levithan,3.72,375835318,183
Mary Queen Of Scots: The Fair Devil Of Scotland,Jean Plaidy,3.98,709148984,240
Jill the Reckless,P.G. Wodehouse,4.03,1585676608,290
Chainfire (Sword of Truth  #9),Terry Goodkind,3.96,765344319,756
Angela's Ashes,Frank McCourt,4.10,7718721,224
On the Lines of Morris' Romances: Two Books That Inspired J. R. R. Tolkien-The Wood Beyond the World and the Well at the World's End,William Morris-Michale W. Perry,4.09,1587420244,288
Cat Breaking Free (Joe Grey  #11),Shirley Rousseau Murphy,4.20,60578122,375
The Counterlife,Philip Roth,3.90,679749047,336
Star Wars: Empire  Volume 6: In the Shadows of Their Fathers,Thomas Andrews-Scott Allie,3.71,1593076274,144
Haussmann  or the Distinction,Paul La Farge,3.64,312420927,379
Running Away from Richard,Chris Manby,3.47,340769203,470
Complete Tales and Poems,Edgar Allan Poe,4.38,785814531,864
I Can Read With My Eyes Shut!,Dr. Seuss,4.20,7158513,48
Essentials of Conservation Biology,Richard B. Primack,3.89,087893720X,585
Broken Prey (Lucas Davenport  #16),John Sandford,4.17,425204308,481
Isolde  Queen of the Western Isle (Tristan and Isolde  #1),Rosalind Miles,3.65,1400047862,360
Maison Ikkoku  Volume 9 (Maison Ikkoku  #9),Rumiko Takahashi,4.19,1591166179,232
An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,4.05,330346512,240
The Future of the Universe,Jack Meadows,3.75,1852339462,175
Nemean Odes. Isthmian Odes. Fragments,Pindar-William H. Race,4.11,674995341,480
Guide to Stress Reduction,L. John Mason,4.22,1587610914,326
An Ideal Husband,Oscar Wilde,4.04,048641423X,78
Fullmetal Alchemist  Vol. 10 (Fullmetal Alchemist  #10),Hiromu Arakawa-Akira Watanabe,4.60,1421504618,200
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington-Bill Robertie,4.23,1880685337,381
Peace Like a River,Leif Enger,3.99,552999350,368
Jack of Kinrowan: Jack the Giant-Killer / Drink Down the Moon,Charles de Lint,4.11,312869592,412
The Outsider,Richard Wright,4.16,60539259,672
Inventing the People: The Rise of Popular Sovereignty in England and America,Edmund S. Morgan,3.75,393306232,320
Six Plays (World Classics),Mikhail Bulgakov-William F. Powell-Michael Earley-Michael Glenny-Lesley Milne,4.33,413645304,448
Still Life with Woodpecker,Tom Robbins,4.04,184243022X,288
Hooked: Film Writings 1985-1988,Pauline Kael,4.04,714529036,528
Defending the West: A Critique of Edward Said's Orientalism,Ibn Warraq,3.62,1591024846,556
The Devil On Horseback,Victoria Holt,3.79,449236250,302
The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,4.63,836204387,208
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,3.78,007141858X,345
The Master of Whitestorm,Janny Wurts,3.91,586210687,413
Pretend You Don't See Her,Mary Higgins Clark,3.88,743484339,305
The Guardship (Thomas Marlowe  #1),James L. Nelson,4.00,380804522,384
What We Talk About When We Talk About Love,Raymond Carver,4.18,679723056,159
The Art of Warfare,Sun Tzu-Roger T. Ames,3.97,034536239X,336
Hand to Mouth: A Chronicle of Early Failure,Paul Auster,3.62,312422326,176
The Mysteries of Sherlock Holmes,Arthur Conan Doyle-Paul Bachem,4.18,448409577,218
Strip Tease,Carl Hiaasen,3.84,044669567X,464
The Collected Tales,Nikolai Gogol-Richard Pevear-Larissa Volokhonsky,4.35,1862075948,435
Caramelo,Sandra Cisneros,3.89,679742581,441
The Purpose of Your Life: Finding Your Place In The World Using Synchronicity  Intuition  And Uncommon Sense,Carol Adrienne-James Redfield,3.75,688166253,320
Crime and Punishment in America,Elliott Currie,3.82,805060162,240
The Secret Lives of Men and Women: A PostSecret Book,Frank Warren,4.37,61198757,144
Point Of Impact (Bob Lee Swagger  #1),Stephen Hunter-Beau Bridges,4.26,739344242,0
No More Water in the Tub!,Tedd Arnold-Mark Buehner,3.94,140564306,32
The Gormenghast Novels (Gormenghast  #1-3),Mervyn Peake-Anthony Burgess-Quentin Crisp,3.99,879516283,1173
Die Brautprinzessin,William Goldman,4.26,3608932267,420
Strange Sounds: Music  Technology & Culture,Timothy D. Taylor,3.77,415936845,278
Art of War,Sun Tzu-Ralph D. Sawyer,3.97,1402561016,5
A Sorrow Beyond Dreams,Peter Handke-Ralph Manheim-Jeffrey Eugenides,3.82,1590170199,76
Captive Dreams,Angela Knight-Diane Whiteside,3.91,425207757,336
Don't Stop the Carnival,Herman Wouk,3.93,316955124,416
Antigone / Oedipus the King / Electra,Sophocles-Edith Hall-H.D.F. Kitto,3.94,192835882,178
Judy Moody Gets Famous! (Judy Moody  #2),Megan McDonald-Peter H. Reynolds,4.03,763619310,144
Assembling California,John McPhee,4.17,374523932,294
Introduction to Phenomenology,Dermot Moran,4.25,415183731,592
Le Secret du Pape (Le Scorpion  #2),Stephen Desberg-Enrico Marini,3.90,287129352X,48
Dakota,Matt Braun,3.69,312997833,306
When Genius Failed: The Rise and Fall of Long-Term Capital Management,Roger Lowenstein,4.18,375758259,264
Monkeyluv: And Other Essays on Our Lives as Animals,Robert M. Sapolsky,4.17,743260163,209
The War of the Worlds,H.G. Wells-Arthur C. Clarke,3.81,375759239,192
All About Love: New Visions,bell hooks,3.99,688168442,240
The Lay of the Land,Richard Ford,3.90,679454683,485
Bengal Nights,Mircea Eliade-Catherine Spencer,3.93,226204197,184
Dead Witch Walking (The Hollows  #1),Kim Harrison,4.04,60572965,416
Lake Forest: Estates  People and Culture (Images of America: Illinois),Arthur H. Miller-Shirley M. Paddock,3.33,738507938,128
Night of Long Shadows (Eberron: Inquisitives  #2),Paul Crilley,3.64,786942703,306
All Fall Down,John Saul,3.92,553173871,329
Doisneau,Peter Hamilton-Robert Doisneau-David    Elliott,4.38,1900826240,128
Lord of the Flies,William Golding,3.67,307281701,6
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,140097317,203
Memnoch the Devil (The Vampire Chronicles  #5),Anne Rice,3.74,096319254X,354
I Am That: Talks with Sri Nisargadatta Maharaj,Nisargadatta Maharaj-Maurice Frydman,4.51,8185300534,531
Love With the Proper Husband (Effingtons  #6),Victoria Alexander,3.84,60001453,358
Michael Powell: Interviews,David Lazar,4.00,1578064988,186
Aspects of the Novel,E.M. Forster-Oliver Stallybrass-Frank Kermode,3.83,141441690,204
The Missing Piece Meets the Big O,Shel Silverstein,4.33,60256575,104
The Wicked Day (Arthurian Saga  #4),Mary  Stewart,4.09,60548282,417
The Red Queen: Sex and the Evolution of Human Nature,Matt Ridley,4.03,60556579,405
The Collapse of the Third Republic,William L. Shirer,4.20,306805626,1082
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,4.40,043932162X,240
Death of a Dreamer (Hamish Macbeth  #22),M.C. Beaton,3.83,892967897,247
Hot Six (Stephanie Plum  #6),Janet Evanovich,4.19,312976275,336
Discovery of the Presence of God: Devotional Nonduality,David R. Hawkins,4.58,971500762,296
Die Leiden des Jungen Werther,Johann Wolfgang von Goethe-R. Paulin,3.65,1853993239,142
The Grotesque,Patrick McGrath,3.63,679776214,178
Captain Cat,Syd Hoff,3.66,64441768,48
Jamie's Dinners: The Essential Family Cookbook,Jamie Oliver-Marion Deuchars-David Loftus-Chris Terry,4.07,1401301940,336
The Man Who Listens to Horses,Monty Roberts-Lucy Grealy-Lawrence Scanlan,4.11,034542705X,352
Undaunted Courage,Stephen E. Ambrose-Barrett Whitener,4.22,1415918090,22
Secrets of San Francisco: A 1920s Sourcebook for the City by the Bay (Call of Cthulhu RPG),Cody Goodfellow,4.00,1568821875,189
Stephen King from A to Z: An Encyclopedia of His Life and Work,George Beahm,3.83,836269144,251
Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,5.00,439271711,32
High Rhulain (Redwall  #18),Brian Jacques-David Elliot,4.12,399242082,341
A Crack in the Edge of the World,Simon Winchester,3.78,60572000,419
La mezzanine,Nicholson Baker,3.89,2264017694,191
Christopher et son monde  1929-1939,Christopher Isherwood,4.12,2010080874,343
The Sly Spy (Olivia Sharp  Agent for Secrets #3),Marjorie Weinman Sharmat-Mitchell Sharmat-Denise Brunkus,3.79,440420628,74
A Game of Thrones (A Song of Ice and Fire  #1),George R.R. Martin,4.45,553588486,848
H.G. Wells' The War of the Worlds (Graphic Novel),Ian Edginton-D'Israeli,3.84,1593074743,70
Valparaiso,Don DeLillo,3.34,033042694X,107
Little Butterfly  Volume 01,Hinako Takanaga,4.07,1569709076,184
Nicolae (Left Behind  #3),Tim LaHaye-Jerry B. Jenkins,3.96,078622469X,530
Ronia  the Robber's Daughter,Astrid Lindgren-Patricia Crampton,4.29,140317201,176
San Francisco Ballet at Seventy-Five,Janice Ross-Allan Ulrich-Brigitte Lefevre,4.33,811856984,188
Dead Sleep,Greg Iles,4.04,451206525,452
The Filth,Grant Morrison-Chris Weston-Gary Erskine,3.75,1401200133,320
Second Home: Finding Your Place in the Fun (Better Homes and Gardens),Denny Caringer-Better Homes and Gardens,3.83,696211521,216
Eva Hesse Drawing,Catherine de Zegher-Elisabeth Sussman,4.54,300116187,344
Genome: the Autobiography of a Species in 23 Chapters,Matt Ridley,4.03,60894083,344
Lost,Gregory Maguire-Douglas Smith,2.81,60988649,340
You Get So Alone at Times That it Just Makes Sense,Charles Bukowski,4.25,876856830,320
The Drifting Classroom  Vol. 2 (Drifting Classroom),Kazuo Umezu,3.97,1421507234,188
Middlesex,Jeffrey Eugenides,3.99,312422156,529
Arcadia,Tom Stoppard,4.19,1568651376,97
The Aeneid: A New Prose Translation,Virgil-David   West,3.83,140444572,353
The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game (The Belgariad  #1-5),David Eddings,4.27,345340442,1635
Story of a Girl,Sara Zarr,3.67,316014532,192
Ghost in the Shell: Stand Alone Complex  Volume 3: White Maze,Junichi Fujisaku,3.98,1595820744,220
A Cold Treachery (Inspector Ian Rutledge  #7),Charles Todd,4.14,553586610,416
Fractal Mode (Mode  #2),Piers Anthony,3.64,441251269,344
The Long Winter (Little House  #6),Laura Ingalls Wilder-Garth Williams,4.14,60885424,422
Seaward,Susan Cooper,3.96,20421907,167
The Great Book of Amber (The Chronicles of Amber  #1-10),Roger Zelazny,4.30,380809060,1258
Shakespeare: The Invention of the Human,Harold Bloom,4.02,157322751X,745
Hell's Angels: A Strange and Terrible Saga,Hunter S. Thompson,3.99,222109073X,295
The Riverside Shakespeare,William Shakespeare-G. Blakemore Evans,4.55,395754909,2057
Cliffs Notes on Billy Budd & Typee,Mary Ellen Snodgrass,3.50,764539507,80
Fluke: Or  I Know Why the Winged Whale Sings,Christopher Moore,3.75,006056668X,321
Cliffsnotes on Flaubert's Madame Bovary (Cliffs Notes),James Lamar Roberts-Gustave Flaubert-CliffsNotes,3.23,822007800,80
Caught Stealing (Hank Thompson  #1),Charlie Huston,4.05,345464788,240
Your Child's Self-Esteem: Step-by-Step Guidelines for Raising Responsible  Productive  Happy Children,Dorothy Corkille Briggs,4.26,385040202,368
The Unknown Sigrid Undset: Jenny and Other Works,Sigrid Undset-Tim Page-Tiina Nunnally-Naomi Walford,4.20,1586420216,406
He Sees You When You're Sleeping,Mary Higgins Clark-Carol Higgins Clark,3.79,743456866,230
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,256
Dr. Seuss's ABC (Book & CD),Dr. Seuss,4.08,375834966,64
The Android (Animorphs  #10),K.A. Applegate-Katherine Applegate,3.76,590997300,170
Island: Collected Stories,Alistair MacLeod,4.19,99422328,448
The Burglar Who Painted Like Mondrian (Bernie Rhodenbarr  #5),Lawrence Block,3.88,60731435,311
Money in the Bank,P.G. Wodehouse,4.15,1585676578,290
The Eyre Affair (Thursday Next  #1),Jasper Fforde,3.91,142001805,374
Acts of God: The Unnatural History of Natural Disaster in America,Ted Steinberg,3.74,195309685,309
The Rising Tide (World War II: 1939-1945  #1),Jeff Shaara,4.10,034546141X,576
Neverwhere  (Den #1),Richard Corben-Fritz Leiber,3.96,345276248,111
Coach: Lessons on the Game of Life,Michael   Lewis,3.82,393060918,96
In the Kitchen with Rosie: Oprah's Favorite Recipes,Rosie Daley-Oprah Winfrey,3.03,679434046,142
Gormenghast,Mervyn Peake-Gilberte Lambrichs-Patrick Reumaux,4.01,2859406123,552
Beach Girls,Luanne Rice,4.06,553587242,448
Two's Company,Jill Mansell,3.59,747267448,448
Zorro,Isabel Allende,3.76,739461508,390
The White Wolf's Son: The Albino Underground (Elric & Oona Von Bek  #3),Michael Moorcock,3.86,446617458,432
Short Stories  Poems  Novels,Edgar Allan Poe,4.24,681979852,567
Pebble in the Sky (Galactic Empire #3),Isaac Asimov,3.88,553293427,308
Life A User's Manual,Georges Perec-David Bellos,4.22,879237511,581
Kids Are Worth It!: Giving Your Child the Gift of Inner Discipline,Barbara Coloroso,4.19,60014318,352
The Scripture of the Golden Eternity,Jack Kerouac-Anne Waldman-Eric Mottram,3.95,872862917,72
Rent Girl,Michelle Tea-Laurenn McCubbin,3.79,867196203,239
La gata perdida = The Missing Cat (Las Aventuras de Nicolas = Adventures with Nicholas),Chris L. Demarest-Berlitz Publishing Company,4.33,9812468234,64
World War II: A Short History,Michael J. Lyons,3.89,130977691,343
The Sigma Protocol,Robert Ludlum,3.79,312982518,662
The Coalwood Way: A Memoir  (Coalwood  #2),Homer Hickam,4.13,440237165,400
Maison Ikkoku  Volume 6 (Maison Ikkoku  #6),Rumiko Takahashi,4.18,1591164222,208
The Cambridge Companion to Jane Austen,Edward Copeland-Juliet McMaster,4.08,521498678,251
To the Nines (Stephanie Plum  #9),Janet Evanovich,4.17,747267634,320
Goodnight Moon,Margaret Wise Brown-Clement Hurd,4.27,60775858,32
Pinky Pye,Eleanor Estes-Edward Ardizzone,3.85,439650429,258
Bless Me  Ultima,Rudolfo Anaya,3.76,446675369,290
Star Wars Omnibus: X-Wing Rogue Squadron  Vol. 2,Michael A. Stackpole-Jan Strnad-Ryder Windham-Jordi Ensign-John Nadeau-Gary Erskine,3.87,1593076193,288
The Deception of the Emerald Ring (Pink Carnation  #3),Lauren Willig,3.90,525949771,400
Don't Wait for Your Ship to Come In... Swim Out to Meet It!: Bite-Sized Inspirations to Help You Achieve Your Dreams,John Mason,3.22,1562920588,160
The Norton Anthology of Theory and Criticism,Vincent B. Leitch-William E. Cain-Laurie A. Finke-John P. McGowan-Barbara Johnson-Jeffrey L. Williams,4.13,393974294,2662
Emil And The Bad Tooth,Astrid Lindgren,4.20,340209232,32
The Konrad Saga (Konrad  #1-3),David S. Garnett-David Ferring,3.53,1841542768,608
The Blue Flower,Penelope Fitzgerald,3.47,395859972,226
On Certainty,Ludwig Wittgenstein-G.E.M. Anscombe-George Henrik von Wright,4.16,631169407,114
Leadership,Rudolph W. Giuliani,3.72,316861014,397
God Bless You  Mr. Rosewater,Kurt Vonnegut,3.96,385333471,288
Three Radio Mysteries  Volume One,Agatha Christie-Mike Walker-Tom Hollander-Maria Friedman-Emilia Fox-Julian Rhind-Tutt,3.67,563536160,2
The Portable Dante,Dante Alighieri-Mark Musa,4.23,142437549,654
Mandy,Julie Andrews Edwards-Johanna Westerman,4.24,61131628,320
The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,4.05,201835959,322
The Harry Bosch Novels  Volume 1: The Black Echo / The Black Ice / The Concrete Blonde (Harry Bosch #1-3),Michael Connelly,4.34,316154970,794
L'Orient  c'est l'Orient,T. Coraghessan Boyle,3.64,2246442613,370
The Ghosts in Baker Street: New Tales of Sherlock Holmes,Martin H. Greenberg-Daniel Stashower,3.55,078671400X,320
Goddess of Love (Goddess Summoning  #5),P.C. Cast,4.05,425215288,292
Bleach  Volume 10,Tite Kubo,4.28,1421500817,208
Kick the Can (One-Eyed Mack  #1),Jim Lehrer,3.88,1571780599,223
Hope in the Dark,Rebecca Solnit,4.07,1841956600,192
La chute,Albert Camus,4.05,318634872,152
A Garden of Earthly Delights (Wonderland Quartet  #1),Joyce Carol Oates-Elaine Showalter,3.82,812968344,406
The Nightingale's Song,Kathleen Eschenburg,3.80,380815699,384
Blame!  Vol. 8,Tsutomu Nihei,4.26,1595328416,216
The Humanoids (Humanoids #1),Jack Williamson,3.75,312852533,299
White Teeth,Zadie Smith,3.76,375703861,448
Stranger in the Forest: On Foot Across Borneo,Eric Hansen,4.10,375724958,288
The Man Without A Country,Edward Everett Hale,3.72,1406917893,46
Reave the Just and Other Tales,Stephen R. Donaldson,3.90,553580140,486
The New York Trilogy,Paul Auster-Art Spiegelman-Luc Sante,3.90,143039830,308
The Memory of Whiteness: A Scientific Romance,Kim Stanley Robinson,3.56,312861435,352
Earthfall (Homecoming Saga  #4),Orson Scott Card,3.50,1857239776,370
Black Friday,James Patterson,3.67,446609323,480
God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,3.97,446579807,307
Far to Go (Margaret Thursday  #2),Noel Streatfeild,3.80,440424941,161
Oedipus Rex  (The Theban Plays  #1),Sophocles-J.E. Thomas,3.69,1580495931,75
On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War,Thucydides-Paul Woodruff,3.72,872201686,172
Plants Bite Back! (DK Readers),Richard Platt,3.84,789447541,48
I Should Be Extremely Happy in Your Company: A Novel of Lewis and Clark,Brian Hall,3.37,142003719,432
Julie  or the New Heloise,Jean-Jacques Rousseau-Philip Stewart-Jean Vache,3.46,874518253,728
The Psychology of Winning,Denis Waitley,4.20,425099997,176
New Amazons,Margaret Weis-Jane Lindskold-Linda Baker-Kathleen M. Massie-Ferch-Cynthia Ward-Lawrence C. Connolly-John Tigges-Kate Novak-Janet Pack-James Reasoner-Livia Reasoner-Nick O'Donohoe-Anne Yvonne Gilbert-Linda Mannheim-Nancy Springer-Gary A. Braunbeck-Jo Clayton-Robyn McGrew-Kevin T. Stein-Felicia Dale-Russell          Davis,3.55,886778875,336
Giovanni and Lusanna: Love and Marriage in Renaissance Florence,Gene A. Brucker,3.56,520244958,160
Moby Dick,Herman Melville-William Hootkins,3.49,9626343583,25
Oh  The Places You’ll Go!,Dr. Seuss,4.35,7158521,48
The Tombs of Atuan (Earthsea Cycle  #2),Ursula K. Le Guin-Margot Paronis,4.09,689845367,180
Strategies of Containment: A Critical Appraisal of American National Security Policy During the Cold War,John Lewis Gaddis,4.01,019517447X,484
Calvin and Hobbes: Sunday Pages 1985-1995: An Exhibition Catalogue,Bill Watterson,4.71,740721356,96
The Dogs of Riga (Kurt Wallander  #2),Henning Mankell-Laurie Thompson,3.72,1400031524,326
Seize the Night (Moonlight Bay  #2),Dean Koontz-Keith Szarabajka,4.08,553479016,464
A Streetcar Named Desire,Tennessee Williams,3.98,822210894,107
Judge & Jury,James Patterson-Andrew Gross,3.99,316013935,419
Green Grass  Running Water,Thomas King,4.02,553373684,469
Mixed Doubles,Jill Mansell,3.72,747257353,416
Absolute Truths (Starbridge  #6),Susan Howatch,4.34,517170779,672
Evermeet: Island of the Elves,Elaine Cunningham,3.91,786913541,490
Eden Close,Anita Shreve,3.66,156031337,265
True Story,Bill Maher,3.10,743291352,304
Spares,Michael Marshall Smith,4.13,6512674,317
A Parchment of Leaves,Silas House,4.17,345464974,304
War and the Iliad,Simone Weil-Rachel Bespaloff-Christopher E.G. Benfey-Mary McCarthy,4.04,1590171454,121
Flashman on the March (The Flashman Papers  #12),George MacDonald Fraser,4.07,1400096464,352
Original Sin: Illuminating the Riddle,Henri Blocher,3.67,083082605X,158
The Annotated Waste Land with Eliot's Contemporary Prose,T.S. Eliot-Lawrence Rainey,4.11,300119941,304
PS I Love You Baby Collection,Lynda Milligan-Nancy J. Smith,4.33,962247723,79
Classic Stories 1: The Golden Apples of the Sun/R is for Rocket,Ray Bradbury,4.21,553286374,348
The Rock That Is Higher: Story as Truth,Madeleine L'Engle,4.13,877887268,320
Crash Proof: How to Profit from the Coming Economic Collapse,Peter D. Schiff-John Downes,3.79,470043601,272
Brimstone  (Pendergast  #5; Diogenes  #1),Douglas Preston-Lincoln Child-Scott Brick,4.14,1415903735,19
The Lost Continent:  Travels in Small-town America,Bill Bryson,3.83,552998087,379
Faerie Tale,Raymond E. Feist,3.87,586071393,490
Lovelock (Mayflower Trilogy  #1),Orson Scott Card-Kathryn H. Kidd,3.46,031287751X,288
The Hundred Dresses,Eleanor Estes-Louis Slobodkin,4.09,152052607,80
The Arabian Nightmare,Robert Irwin,3.85,1585672173,282
Dominion (Ollie Chandler #2),Randy Alcorn,4.22,1590525930,603
I Like You: Hospitality Under the Influence,Amy Sedaris,3.87,446578843,304
The History of Sexuality  Volume 1: An Introduction,Michel Foucault-Robert Hurley,4.04,679724699,176
Let the Hurricane Roar,Rose Wilder Lane,3.96,64401588,118
Tithe (Modern Faerie Tales  #1),Holly Black,3.73,689867042,332
The Age of Empire  1875-1914,Eric Hobsbawm,4.20,349105987,404
Your Best Friend's Boyfriend (Follow Your Heart  #1),J.E. Bright,3.35,439791405,240
Patrick: Patron Saint of Ireland,Tomie dePaola,4.06,823410773,30
Take a Thief (Valdemar #25),Mercedes Lackey,4.12,756400589,435
Wooden: A Lifetime of Observations and Reflections On and Off the Court,John Wooden-Steve Jamison,4.45,809230410,201
Women Who Love Too Much,Robin Norwood,4.00,99474123,314
The Perfect Wife,Lynsay Sands,3.87,084395499X,354
A Quiver Full of Arrows,Jeffrey Archer,3.78,312937695,288
Bulgakov's the Master and Margarita: The Text as a Cipher,Elena N. Mahlow,4.75,533017424,202
Voice of the Gods (Age of the Five  #3),Trudi Canavan,4.08,60815922,592
Beat That! Cookbook,Ann Hodgman,4.29,395971780,208
Memories of a Catholic Girlhood,Mary McCarthy,3.73,009928345X,208
The Good House,Tananarive Due,3.93,743296168,597
Eugene Onegin: A Novel in Verse,Alexander Pushkin-Douglas R. Hofstadter,4.09,465020941,224
J.R.R. Tolkien: A Biography,Humphrey Carpenter,4.06,618057021,304
The Gift: Understand and Develop Your Psychic Abilities,Echo Bodine-Melody Beattie,4.12,1577312058,160
Tending Lives: Nurses on the Medical Front,Echo Heron,4.27,804118213,416
Twilight of the Idols/The Anti-Christ,Friedrich Nietzsche-Michael Tanner,4.16,140445145,208
The Sword of Honour Trilogy,Evelyn Waugh-Frank Kermode,4.24,679431365,711
The Crimson Petal and the White,Michel Faber,3.88,1841954314,835
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,3.68,374292795,616
The Life and Death of My Lord Gilles de Rais,Robert Nye,3.89,349102503,323
With Friends Like These...,Alan Dean Foster,3.94,345323904,236
Drina Ballerina,Jean Estoril,4.15,750005947,188
